id,1 thread,2 threads,3 threads,6 threads, 12 threads
1,1.708049,1.452234,0.859178,0.897812,0.814911
2,1.549920,1.470179,1.044397,0.910566,0.790107
3,1.579831,1.455488,0.861056,0.872217,0.799233
4,1.558123,1.222309,0.851791,0.860286,0.790805
5,1.582947,1.424041,0.861429,0.872817,0.791391
6,1.589029,1.440891,0.871896,0.883435,0.757172
7,1.548992,1.427977,0.858586,0.882855,0.767659
8,1.554007,1.233656,0.858992,0.869526,0.783658
9,1.553881,1.427234,0.855842,0.865073,0.827968
10,1.548161,1.430373,0.879166,0.903323,0.827433
11,1.554540,1.429939,0.854057,0.897018,0.833920
12,1.731499,1.479121,0.877324,0.892761,0.764407
13,1.556358,1.433429,0.861624,0.891838,0.793459
14,1.547947,1.228876,0.861337,0.872804,0.772700
15,1.534145,1.431135,0.859134,0.897035,0.775098
16,1.563571,1.429914,0.868937,0.889082,0.771010
17,1.584830,1.435282,0.865817,0.904359,0.771738
18,1.556619,1.240490,0.868809,0.893610,0.792661
19,1.558595,1.222930,0.861862,0.855991,0.779906
20,1.556599,1.428920,0.860460,0.869154,0.781409
