id,1 thread,2 threads,4 threads,8 threads
1,3.409642,2.286364,1.914276,1.619143
2,3.497183,2.277067,1.864983,3.700959
3,3.398396,2.312602,1.863314,1.609910
4,3.372882,2.313486,1.828978,3.547460
5,3.368183,2.304375,1.888784,1.599444
6,3.429739,2.298102,1.835754,3.478244
7,3.380601,2.274357,1.827598,1.589554
8,3.486145,2.303784,1.824686,2.970951
9,3.421426,2.332167,1.832607,1.604693
10,3.504103,2.295037,1.842912,2.770834
11,3.374499,2.271492,1.902460,1.610424
12,3.426222,2.287269,1.872551,2.984635
13,3.395105,2.290125,1.822980,1.637878
14,3.443593,2.296596,1.831563,2.483302
15,3.424927,2.291634,1.848459,1.604127
16,3.451506,2.295355,1.836482,2.528161
17,3.380072,2.317095,1.857289,1.605066
18,3.422639,2.395358,1.866114,1.593223
19,3.377852,2.286609,1.823945,1.587689
20,3.424155,2.295817,1.837781,1.583838
